"index","SEM 1 SGPA","SEM 1 KT","SEM 2 SGPA","SEM 2 KT","SEM 3 SGPA","SEM 3 KT","SEM 4 SGPA","SEM 4 KT","SEM 5 SGPA","SEM 5 KT","SEM 6 SGPA","SEM 6 KT","SEM 7 SGPA","SEM 7 KT","SEM 8 SGPA","Hours_On_Assignment","Hours_On_Studies","Travel_Time","Attendance","Internet_Availability","Internet_Speed","Mode_Of_Transportation","2_hrs_lect","Submissions","5_hrs_lect","5_hrs_pracs","Coaching_classes","Teacher's Feedback","Label","Scocial_Skills","Average pointer","Cleaned_Feedback"
"0","7.1","0","6.85","0","7.2","1.0","7.3","0.0","7.6","0","6.9","0.0","7.2","0","6.9","1","0","2","3","1","0","1","0","0","0","0","0","Disciplined and hard working","1","0","7.13125","disciplin hard work"
"1","7.2","0","7.1","0","6.11","0.0","6.67","0.0","7.14","0","7.71","0.0","7.2","0","7.3","0","0","2","4","1","0","1","1","1","0","0","1","Good leadership skills","1","1","7.05375","good leadership skill"
"2","3.8","4","4.2","2","4.2","1.0","3.8","2.0","4.35","0","3.89","0.0","3.7","0","4.53","0","0","3","4","1","0","1","0","1","0","0","0","Very talkative and Poor attendance","0","0","4.05875","talkat poor attend"
"3","6.91","1","6.6","2","5.82","1.0","6.1","0.0","7.71","0","6.7","0.0","6.2","0","6.0","1","0","2","4","1","0","1","0","1","0","1","0","Respectful to Authority and Others","1","0","6.505","respect author other"
"4","3.5","1","3.4","2","4.0","2.0","4.1","2.0","3.63","0","3.3","0.0","3.7","0","4.89","0","0","3","5","1","0","1","0","0","0","0","0","Bunk lectuer","0","0","3.815","bunk lectuer"
"5","4.97","2","4.95","1","4.87","1.0","4.85","2.0","3.86","0","4.61","0.0","3.76","0","4.82","0","0","2","5","1","0","1","0","1","0","0","0","Always late and Does not follow my lecture","0","0","4.58625","alway late follow lectur"
"6","4.8","0","7.85","0","7.43","0.0","7.5","0.0","7.6","0","7.4","0.0","7.4","0","7.8","0","0","3","2","0","0","3","0","1","0","1","0","Excellent performance","1","0","7.2225","excel perform"
"7","4.2","2","3.8","1","4.7","2.0","3.8","1.0","4.63","0","4.28","0.0","3.54","0","4.58","0","0","2","5","1","0","1","0","1","0","0","0","Not attentive","0","0","4.19125","attent"
"8","5.6","2","5.8","2","5.8","1.0","6.2","0.0","6.1","0","6.3","0.0","6.4","0","6.2","0","0","3","5","1","0","1","1","1","1","1","0","Good but can be better","1","1","6.05","good better"
"9","6.63","0","6.6","0","6.58","0.0","6.3","0.0","6.5","0","6.6","0.0","6.7","0","6.9","0","0","3","1","1","0","1","1","1","1","1","0","Excellent performance","1","0","6.60125","excel perform"
"10","3.6","1","3.7","1","4.1","1.0","3.4","3.0","3.87","0","4.19","0.0","4.78","0","4.25","0","0","2","5","1","0","2","0","0","0","0","0","Lagging Behind","0","0","3.98625","lag behind"
"11","4.1","1","3.5","1","3.6","2.0","3.7","2.0","3.25","0","3.9","0.0","3.5","0","3.65","0","0","1","5","1","0","1","0","1","0","0","0","Does not follow my lecture and Very talkative","0","0","3.65","follow lectur talkat"
"12","9.16","0","8.56","0","7.22","0.0","7.0","0.0","9.2","0","7.71","0.0","9.38","0","6.4","0","1","2","1","1","0","2","0","0","1","1","0","Self-Motivated","1","0","8.07875",""
"13","5.6","1","5.8","1","5.7","2.0","6.2","0.0","6.1","0","5.9","0.0","5.8","0","6.1","0","0","3","1","1","0","3","1","1","1","1","0","Excellent performance","1","0","5.9","excel perform"
"14","3.6","1","3.8","2","3.4","2.0","3.3","1.0","4.21","0","3.6","0.0","4.21","0","3.69","0","0","2","3","1","0","3","0","0","0","0","0","Needs improvement and Not attentive","0","0","3.72625","need improv attent"
"15","5.8","1","5.2","1","5.3","0.0","5.9","0.0","5.8","0","5.9","0.0","5.7","0","6.0","0","1","2","1","1","0","3","1","1","1","1","0","Disciplined and hard working","1","1","5.7","disciplin hard work"
"16","4.2","1","4.6","1","3.8","1.0","3.1","1.0","4.56","0","4.2","0.0","4.56","0","3.7","0","0","2","4","1","0","1","0","0","0","0","0","Does not follow my lecture","0","0","4.09","follow lectur"
"17","4.4","3","4.2","2","3.6","1.0","3.1","2.0","3.98","0","3.9","0.0","3.98","0","3.54","0","0","1","5","1","0","3","0","0","0","0","0","Bunk lectuer","0","0","3.8375","bunk lectuer"
"18","8.67","0","8.56","0","8.89","0.0","9.52","0.0","9.14","0","9.14","0.0","9.36","0","9.5","0","0","2","1","1","0","1","0","1","1","1","0","Willingness to Put Forth Effort","1","0","9.0975","willing put forth effort"
"19","7.74","0","7.5","1","7.73","0.0","7.8","0.0","7.9","0","7.4","0.0","7.8","0","8.0","0","0","3","2","1","0","1","0","1","1","1","0","Excellent performance","1","0","7.73375","excel perform"
"20","4.1","2","4.6","3","4.2","1.0","4.8","3.0","4.0","0","3.09","0.0","3.5","0","3.8","0","0","2","5","1","0","1","0","1","0","0","0","Does not follow my lecture and Very talkative","0","0","4.01125","follow lectur talkat"
"21","4.9","4","3.95","1","4.1","2.0","3.7","1.0","3.06","0","4.2","0.0","3.06","0","4.21","0","0","2","5","1","0","1","0","1","0","0","0","Disappointed performance","0","0","3.8975","disappoint perform"
"22","7.4","2","5.8","2","5.9","1.0","5.2","0.0","5.5","0","7.3","0.0","5.2","0","7.3","0","0","3","4","1","0","3","0","1","0","0","0","Willingness to Put Forth Effort","1","0","6.2","willing put forth effort"
"23","5.65","0","5.7","2","5.9","2.0","5.8","0.0","5.95","0","6.0","0.0","6.1","0","6.2","0","0","2","3","1","0","1","0","0","1","0","0","Responsible","1","0","5.9125","respons"
"24","8.2","0","7.9","0","9.3","0.0","9.0","0.0","8.1","0","6.7","0.0","7.2","0","7.3","0","0","1","3","1","0","1","0","0","0","0","0","Solid Social and Emotional Skills","1","0","7.9625","solid social emot skill"
"25","4.2","3","3.8","2","3.4","1.0","3.7","0.0","4.32","0","4.2","0.0","4.64","0","4.95","0","0","3","5","1","0","1","0","0","0","0","0","Does not follow my lecture","0","0","4.15125","follow lectur"
"26","4.7","1","3.5","3","3.7","2.0","4.1","","3.56","0","3.4","0.0","4.89","0","4.19","0","0","2","5","1","0","1","0","1","0","0","0","Always late and Does not follow my lecture","0","0","4.005","alway late follow lectur"
"27","3.9","1","3.4","1","3.8","2.0","4.6","1.0","4.6","0","4.25","0.0","4.6","0","3.62","0","0","3","5","1","0","1","0","0","0","0","0","Argues with teacher","0","0","4.09625","argu teacher"
"28","7.56","0","8.41","0","9.46","0.0","8.0","0.0","8.5","0","8.6","0.0","8.3","0","8.2","0","0","3","1","1","0","1","1","1","1","1","0","Self-Motivated","1","0","8.37875",""
